#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:15
KmVS++Yl%(	JPCARDS	English Profile Vocabulary::A1	he	vocab_1_he	JPCARDS	pronoun		/hiː/		used to refer to a man, boy or male animal that has already been mentioned	Don't ask Andrew, he won't know.<br>There's no need to be frightened - he's a very friendly dog.	He is from Hungary. (Skills for Life (Entry 1); A1; Slovak)		A1
n@qb6K:i^}	JPCARDS	English Profile Vocabulary::A1	learn	vocab_46_learn	JPCARDS	verb		/lɜːn/		to get knowledge or skill in a new subject or activity	They learn Russian at school.<br>""Can you drive?"" ""I'm learning.""<br>I've learned a lot about computers since I started work here.<br>I'm learning to play the piano.<br>First you'll learn (how) to use this machine.	Every day at college I learn new words and new things in my life. (Skills for Life (Entry 1); A1; Polish)<br>"		A1
"PDw8%LS#>W"	JPCARDS	English Profile Vocabulary::A1	there	vocab_47_there	JPCARDS	pronoun		/ðeər/		used to show that something exists or happens	There are three pubs in the village.<br>There's not much room in the back of the car.<br>There have been a lot of accidents on this road.<br>Is there any milk?	There are three swim[m]ing pools inside, for different people. (Skills for Life (Entry 1); A1; Polish)		A1
g_fJT!<_(r	JPCARDS	English Profile Vocabulary::A1	egg	vocab_48_egg	JPCARDS	noun		/eg/		an oval object with a hard shell which is produced by female birds, especially chickens, and which is eaten as food	a hard-boiled/soft-boiled egg<br>How do you like your eggs - fried or scrambled?	I like to eat soup, eggs, meat and salad, and drink orange juice. (Skills for Life (Entry 1); A1; Polish)		A1
"GIf=3gk#dO"	JPCARDS	English Profile Vocabulary::A1	hard	vocab_49_hard	JPCARDS	adjective		/hɑːd/		difficult to understand or do	There were some really hard questions in the exam.<br>It's hard being a single mother.<br>Her handwriting is very hard to read.<br>The topics get harder later in the course.	I don't like gram[m]ar. English gram[m]ar is hard for me. (Skills for Life (Entry 1); A1; Portuguese)		A1
Cd2{=Pn|iU	JPCARDS	English Profile Vocabulary::A1	swimming pool	vocab_50_swimming_pool	JPCARDS	noun : C		/ˈswɪm.ɪŋˌpuːl/		an area of water that has been made for people to swim in	an indoor/outdoor swimming pool	I like [it] when we go to [the] swimming pool. (Skills for Life (Entry 1); A1; Polish)		A1
wAe(6{5XW2	JPCARDS	English Profile Vocabulary::A1	why	vocab_51_why	JPCARDS	adverb		/waɪ/		used to ask about the reason for something	""I'm going home."" ""Why?""<br>Why did you choose to live in London?<br>Why wait? Let's leave now.	Why couldn't you come? (Key English Test; A2; Chinese)<br>"		A1
G?:$dO[}5[	JPCARDS	English Profile Vocabulary::A1	language	vocab_52_language	JPCARDS	noun		/ˈlæŋ.gwɪdʒ/		a type of communication used by the people of a particular country	How many languages do you speak?<br>I'm hopeless at learning languages.<br>the English language	I'm learning a new language. (Skills for Life (Entry 1); A1; Polish)		A1
uYYvLcBGD5	JPCARDS	English Profile Vocabulary::A1	have	vocab_53_have	JPCARDS	verb : T		/hæv/		If you have a particular illness, you suffer from it.	I've got a cold.<br>Have you ever had measles?	I know you had [the] flu. (Key English Test; A2; Spanish)		A1
h&Uf_c@iq>	JPCARDS	English Profile Vocabulary::A1	funny	vocab_54_funny	JPCARDS	adjective		/ˈfʌn.i/		making you smile or laugh	Do you know any funny stories/jokes?<br>I've never found Charlie Chaplin very funny.<br>It's a really funny film.<br>It's not funny - don't laugh!<br>No matter how serious the situation there always seems to be a funny side to it.	We dance[d], dr[a]nk coca-cola, and watch[ed] a very funny film. (Key English Test; A2; Slovak)		A1
Is.w*v>FW.	JPCARDS	English Profile Vocabulary::A1	pair	vocab_55_pair	JPCARDS	noun : C		/peər/		two people who are doing something together	I'd like you to do this exercise in pairs.	We [do] dialogues in pairs or between other students. (Skills for Life (Entry 1); A1; Polish)		A1
